zts1e	Nowy przedmiot
zts4428e	He³m ochronny ducha piasku
zts4429e	Zawiera esencjê ducha piasku.[n][n]
zts4430e	He³m ochronny ducha wiatru
zts4431e	Zawiera esencjê ducha wiatru.[n][n]
zts4432e	He³m ochronny pustynnego rozbójnika
zts4433e	He³m ochronny zak³adany przez zwyk³ych ¿o³nierzy bandy rozbójników.[n][n]
zts4434e	He³m ochronny handlarza
zts4435e	He³m ochronny noszony przez ¿o³nierzy patrolu bojowego handlarzy Akamura.[n][n]
zts4436e	Krzakogon Bokser
zts4437e	Ostry miecz bandy rozbójników
zts4438e	Zwyk³y ostry miecz bandy rozbójników[n][n]
zts4439e	£uk klinowy bandy rozbójników
zts4440e	Zwyk³y ³uk klinowy u¿ywany przez bandê rozbójników.[n][n]
zts4441e	Laska bandy rozbójników
zts4442e	Zwyk³a laska u¿ywana przez bandê rozbójników.[n][n]
zts4443e	Kusza eskorty handlarzy
zts4444e	Kusza u¿ywana przez eskortê handlarzy Akambur.[n][n]
zts4445e	Sztylet zamachowca handlarzy
zts4446e	Sztylet u¿ywany przez zamachowców handlarzy Akamur.[n][n]
zts4447e	Magiczna ró¿d¿ka handlarzy
zts4448e	Czarodziejska ró¿d¿ka Czarodzieja handlarzy Akamura.[n][n]
zts4449e	Opaska na czo³o œwie¿ych rozbójników
zts4450e	Opaska na czo³o noszona przez nowych cz³onków bandy rozbójników.[n][n]
zts4451e	Rêkawice mistrza rozbójników
zts4452e	Mawiaj¹, ¿e rêkawicy tej u¿ywa³ mistrz rozbójników.[n][n]
zts4453e	Buty mistrza rozbójników
zts4454e	Mawiaj¹, ¿e buty te nosi³ mistrz rozbójników.[n][n]
zts4455e	Podczas u¿ywania tego przedmiotu mog¹ wyst¹piæ nastêpuj¹ce efekty:[n]Zwiêkszenie P¯, Zwiêkszenie PM, Zwiêkszenie PS, nic.[n]Alternatywnie mo¿na zamieniæ go u Velochiki na Pieczêæ Grasslina.[n]Ten przedmiot zniknie wraz z zakoñczeniem eventu.[n][n]
zts4456e	Podczas u¿ywania tego przedmiotu mog¹ wyst¹piæ nastêpuj¹ce efekty:[n]Zwiêkszenie P¯, Zwiêkszenie PM, Zwiêkszenie PS, nic.[n]Alternatywnie mo¿na zamieniæ go u Velochiki na Pieczêæ Grasslina.[n]Ten przedmiot zniknie wraz z zakoñczeniem eventu.[n][n]
zts4457e	Dziêki temu buffowi otrzymasz na 10 minut 30% wiêcej punktów doœwiadczenia w walce.[n] Ten przedmiot znika po zakoñczeniu eventu.[n][n]
zts4458e	Pakiet Boksera Krzakogona
zts4459e	Limitowany przedmiot wakacyjny.[n]Mo¿esz otrzymaæ jednoczeœnie Boksera Krzakogona i wiele innych przedmiotów.[n][n]
zts4460e	Przedmiot oferowany nowo zwerbowanym u¿ytkownikom.[n]Je¿eli zarówno Ty, jak i Twój znajomy, który Ciê zwerbowa³, jesteœcie w tym samym czasie online, mo¿ecie skorzystaæ ze zwiêkszonej prêdkoœci zbierania.[n] Ten przedmiot nie jest wykorzystywany podczas eventu, lecz znika wraz z koñcem eventu.[n][n]
zts4461e	Skrzynia skarbów Premium
zts4462e	Skrzynia Premium, w której znajduje siê szybki magiczny skuter.[n]Mo¿esz otrzymaæ nastêpuj¹ce przedmioty:[n]Magiczny skuter[n]5x B³ogos³awieñstwo Ancelloan[n]Po zastosowaniu tego przedmiotu przemienisz siê w magicznego jeŸdŸca skutera.[n]Poczuj wiatr we w³osach![n]Zaleta zakupu:[n]Zakup skrzyni Premium[n][n]
zts4463e	Przemienia skrzyd³a Twojego specjalisty w skrzyd³o anio³a.[n] Instrukcja:[n] 1. Przemieñ siê w specjalistê.[n]2. U¿yj tego przedmiotu, aby zmieniæ swoje skrzyd³a.[n]Uwaga:[n]1. Mo¿esz je zmieniæ tylko z ulepszon¹ kart¹ specjalisty +1 lub wy¿ej.[n]2. Funkcja ta zniknie, jeœli w³o¿ysz swoj¹ kartê specjalisty do pojemnika na karty.[n][n]
zts4464e	Przemienia skrzyd³a Twojego specjalisty w skrzyd³o demona.[n] Instrukcja:[n] 1. Przemieñ siê w specjalistê.[n]2. U¿yj tego przedmiotu, aby zmieniæ swoje skrzyd³a.[n]Uwaga:[n]1. Mo¿esz je zmieniæ tylko z ulepszon¹ kart¹ specjalisty +1 lub wy¿ej.[n]2. Funkcja ta zniknie, jeœli w³o¿ysz swoj¹ kartê specjalisty do pojemnika na karty.[n][n]
zts4465e	Wartoœciowy raport patrolu (Asystent Bin)
zts4466e	Wartoœciowy raport patrolu (Stra¿nik Latarni Morskiej Chilton)
zts4467e	Przedmiot zadania.[n]U¿yj go wraz z figami kaktusowymi Neila Lagera.[n]
zts4468e	Klucz pustynnych rozbójników
zts4469e	Zniszczony towar
zts4470e	Towar (Pierwsze Znalezisko)
zts4471e	Towar (drugie znalezisko)
zts4472e	Towar (trzecie znalezisko)
zts4473e	Towar (czwarte znalezisko)
zts4474e	Towar (pi¹te znalezisko)
zts4475e	Towar (szóste znalezisko)
zts4476e	Kadzide³ko kap³ana
zts4477e	Przedmiot zadania.[n]U¿yj na kap³anie, który umar³ w bibliotece.[n]
zts4478e	Kadzide³ko mnicha
zts4479e	Przedmiot zadania.[n]U¿yj na mnichu, który umar³ w podziemnej jaskini.[n]
zts4480e	Kadzide³ko kleryka
zts4481e	Przedmiot zadania.[n]U¿yj na kleryku, który umar³ w sali modlitw.[n]
zts4482e	Kadzide³ko Poszukiwacza skarbów
zts4483e	Przedmiot zadania.[n]U¿yj na martwym poszukiwaczu skarbów.[n]
zts4484e	Esencja piasku
zts4485e	Esencja Wiatru
zts4486e	Górny fragment listu
zts4487e	Przedmiot zadania.[n]U¿yj na odpoczywaj¹cym rozbójniku oddzia³u zwiadowczego w Obozie pustynnych rozbójników.[n]
zts4488e	Przedmiot zadania.[n]U¿yj na odpoczywaj¹cej jednostce transportowej w Obozie pustynnych rozbójników.[n]
zts4489e	Przedmiot zadania.[n]U¿yj na œpi¹cym patrolu w Obozie pustynnych rozbójników.[n]
zts4490e	Elfia esencja ognia
zts4491e	Przedmiot zadania.[n]U¿yj na odpoczywaj¹cym elitarnym rozbójniku w Obozie pustynnych rozbójników.[n]
zts4492e	Skradziony towar (Obóz Kerusa)
zts4493e	Skradziony towar (Obóz Gartona)
zts4494e	Skradziony towar (Obóz pustynnych rozbójników)
zts4495e	Skradziony towar (Centrum Rozbójników)
zts4496e	Mo¿na na niej rozpoznaæ z³oty emblemat przywódcy bandy rozbójników.[n]Handlarz Z³otem w Mieœcie Or³a Pustyni wymieni Ci j¹ m.in. na bronie.[n][n]
zts4497e	Mo¿na na niej rozpoznaæ srebrny emblemat przywódcy bandy rozbójników.[n]Handlarz Srebrem w Mieœcie Or³a Pustyni wymieni Ci j¹ m.in. na przedmioty.[n][n]
zts4498e	Mo¿na na niej rozpoznaæ br¹zowy emblemat przywódcy bandy rozbójników.[n]Handlarz Miedzi¹ w Mieœcie Or³a Pustyni wymieni Ci j¹ m.in. na przedmioty.[n][n]
zts4499e	Klucz, na którym wygrawerowany jest emblemat bandy rozbójników.[n]Jest Ci potrzebny do otwarcia skrzyni bandy rozbójników.[n]Przy ka¿dym podejœciu potrzebujesz klucza, niezale¿nie od tego, czy Ci siê uda, czy nie.[n][n]
zts4500e	Z³oty klucz Ibrahima
zts4501e	Z³oty klucz, na którym wygrawerowany jest emblemat Ibrahima.[n]Jest Ci potrzebny do otwarcia skrzyni skarbów Ibrahima.[n]Przy ka¿dym podejœciu potrzebujesz klucza, niezale¿nie od tego, czy Ci siê uda, czy nie.[n][n]
zts4502e	Torba Ibrahima
zts4503e	Torba przywódcy bandy rozbójników.[n]Mo¿esz w niej znaleŸæ jeden z nastêpuj¹cych przedmiotów:[n]Z³ot¹ monetê bandy rozbójników[n]Lœni¹cy b³êkitny klejnot[n]Z³oty klucz Ibrahima[n]
zts4504e	Nieznany Relikt.[n]Dowiesz siê o nim wiêcej, przekazuj¹c go do zbadania archeologowi.[n]Przedmioty, które mo¿esz otrzymaæ:[n]Przed dok³adniejszym zbadaniem nie dowiesz siê, co jest w œrodku.[n]Przedmiot ten mog¹ u¿ywaæ tylko postacie z poziomem wy¿szym ni¿ 60.[n][n]
zts4505e	Tajemniczy, fascynuj¹cy Relikt.[n]Nieznany Relikt.[n]Dowiesz siê o nim wiêcej, przekazuj¹c go do zbadania archeologowi.[n]Przedmioty, które mo¿esz otrzymaæ:[n]Przed dok³adniejszym zbadaniem nie dowiesz siê, co jest w œrodku.[n]Przedmiot ten mog¹ u¿ywaæ tylko postacie z poziomem wy¿szym ni¿ 60.[n][n]
zts4506e	Œwie¿y sok z jab³ek
zts4507e	Przywraca 2500 P¯ i 2500 PM.[n][n]
zts4508e	Mocne wino z truskawek
zts4509e	P¯: 10000, PM: 10000[n]Przywrócenie dla gracza i NosKumpla.[n][n]
zts4510e	Szkic budowy broni nale¿¹cy do Komendanta pustynnych rozbójników.[n]Zawiera informacje na temat produkcji broni i zbroi za pomoc¹ w³aœciwych materia³ów.[n]Instrukcja produkcji:[n]1.Wszystkie materia³y musz¹ znajdowaæ siê w inwentarzu[n]2.Kliknij dwukrotnie na szkic, aby otworzyæ nowe okno[n]3.Kliknij na przedmiot, który ma zostaæ wyprodukowany[n]4.Kliknij na przycisk Zbuduj, aby rozpocz¹æ produkcjê.[n]Uwaga:[n]Rzadki poziom, Wzmocnienie oraz Opcje przechodz¹ na wyprodukowany przedmiot.[n][n]
zts4511e	Szkic budowy maski pustynnych rozbójników.[n]Zawiera informacje na temat produkcji broni i zbroi za pomoc¹ w³aœciwych materia³ów.[n]Instrukcja produkcji:[n]1.Wszystkie materia³y musz¹ znajdowaæ siê w inwentarzu[n]2.Kliknij dwukrotnie na szkic, aby otworzyæ nowe okno Budowy[n]3.Kliknij na przedmiot, który ma zostaæ wyprodukowany[n]4.Kliknij na przycisk Zbuduj, aby rozpocz¹æ produkcjê.[n][n]
zts4512e	Przywraca 3000 P¯.[n]Przywracanie dzia³a zarówno w przypadku gracza, jak i jego NosKumpli.[n][n]
zts4513e	Przywraca 3000 PM.[n]Przywracanie dzia³a zarówno w przypadku gracza, jak i jego NosKumpli.[n][n]
zts4514e	Wytwarza 20000 PM.[n]Przywracanie dzia³a zarówno w przypadku gracza, jak i jego NosKumpli.[n][n]
zts4515e	Przywraca 20000 P¯.[n]Przywracanie dzia³a zarówno w przypadku gracza, jak i jego NosKumpli.[n][n]
zts4516e	Rozpoczyna rajd pustynnych rozbójników[n] na tajemnej œcie¿ce œwi¹tyni Aster.[n]Wymagany poziom: 80 do 99[n][Sposób u¿ycia] Gracz staje siê liderem zespo³u. [n] Gdy zostaniesz liderem zespo³u, wybierz wspó³gracza[n] i u¿yj przycisku 'Zaproszenie'. Po dokonaniu wszystkich przygotowañ przejdŸ do wejœcia do rajdu. [n] Gdy lider zespo³u do³¹czy do rajdu, [n] wszyscy wspó³gracze przy³¹cz¹ siê automatycznie. [n] [Ostrze¿enie] Postacie z poziomem wy¿szym ni¿ zalecany [n] mog¹ wprawdzie uczestniczyæ w rajdzie, jednak zostan¹ ukarane. [n] (¯ycie siê nie zwiêksza, brak Skrzyñ skarbów, nawet w przypadku sukcesu) [n][n]
zts4517e	Zawiera karty Tarota i przedmiot szczêœcia.[n][n]
zts4518e	Gor¹cy Kawa³ek Metalu
zts4519e	Kawa³ek metalu o wyczuwalnym cielpe[n]U¿ywany w celach produkcyjnych.[n][n]
zts4520e	Zniszczony Fragment Reliktu
zts4521e	Towar, który mo¿na sprzedaæ.[n]Relikt, który uleg³ zniszczeniu w trakcie badania.[n]Poniewa¿ nie wygl¹da na bardzo wartoœciowy, nie zostanie sprzedany za wysok¹ cenê.[n][n]
zts4522e	B³yszcz¹cy Fioletowy Kamieñ Szlachetny
zts4523e	Jest to towar na sprzeda¿.[n][n]
zts4524e	Lœni¹cy b³êkitny klejnot
zts4525e	P¯:2000, PM:2000[n]P¯ i MP s¹ powoli nape³niane ponownie.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4526e	P³on¹cy kurczak
zts4527e	P¯:10000, PM: 10000[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n]Nie mo¿na go u¿ywaæ w czasie wypoczywania.[n][n]
zts4528e	Gor¹ca Skóra
zts4529e	Mo¿esz poczuæ ciep³o skóry.[n]U¿ywana w celach produkcyjnych.[n][n]
zts4530e	Gor¹cy materia³
zts4531e	Mo¿esz poczuæ ciep³o materia³u.[n]U¿ywany w celach produkcyjnych.[n][n]
zts4532e	Gor¹ce drewno
zts4533e	Mo¿esz poczuæ ciep³o drewna.[n]U¿ywane w celach produkcyjnych.[n][n]
zts4534e	Gor¹ca srebrna sieæ
zts4535e	Ten przedmiot wykorzystywany jest do produkcji[n][n]
zts4536e	Gor¹ca Z³ota Niæ
zts4537e	Boski Magiczny Kryszta³
zts4538e	Ciemny Magiczny Kryszta³
zts4539e	Boski kryszta³
zts4540e	Ciemny Kryszta³
zts4541e	Niebieski Metalowy Piasek
zts4542e	Niebieski kawa³ek drewna
zts4543e	Niebieski kawa³ek metalu
zts4544e	Fioletowy kawa³ek drewna
zts4545e	Fioletowy kawa³ek metalu
zts4546e	Fioletowy fragment kryszta³u
zts4547e	Fioletowy dyniowy kamieñ
zts4548e	Pomarañczowy dyniowy kamieñ
zts4549e	B³êkitny dyniowy kamieñ
zts4550e	Kawa³ek Maski Akamur
zts4551e	Fragment maski pustynnych rozbójników
zts4552e	Plakietka Akamura
zts4553e	Wyschniêty chleb ¿ytni
zts4554e	PM: 3500, PM: 1500[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4555e	Woda ródlana z Oazy
zts4556e	P¯: 1500, PM: 3500[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4557e	Gor¹ce jagniê z ro¿na
zts4558e	P¯: 4000, PM: 3000[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4559e	OrzeŸwiaj¹ca Woda G³êbinowa
zts4560e	P¯: 3000, PM: 4000[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4561e	Gor¹ce kakao
zts4562e	P¯: 15000, PM: 7500[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n]Nie mo¿na go u¿ywaæ w czasie wypoczywania.[n][n]
zts4563e	Zimne Kakao
zts4564e	P¯: 7500, PM: 15000[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n]Nie mo¿na go u¿ywaæ w czasie wypoczywania.[n][n]
zts4565e	Miêso jagniêce
zts4566e	Dodatek do gor¹cego jagniêcia z ro¿na[n][n]
zts4567e	Woda g³êbinowa
zts4568e	Dodatek do orzeŸwiaj¹cej wody g³êbinowej[n][n]
zts4569e	Olbrzymia skrzynia truskawek
zts4570e	Dodatek do œwie¿ego soku z truskawek i mocnego wina z truskawek[n][n]
zts4571e	Skrzynia dojrza³ych winogron
zts4572e	Dodatek do œwie¿ego soku z winogron i mocnego wina gronowego[n][n]
zts4573e	Czerwona skrzynia z jab³kami
zts4574e	Dodatek do œwie¿ego soku z jab³ek i mocnego wina z jab³ek.[n][n]
zts4575e	Talizman powrotu (Pustynia)
zts4576e	Ten talizman zabierze Ciê z powrotem do wioski. Twoje aktualne po³o¿enie zostanie zapisane, a dziêki amuletowi powrotu mo¿esz do niego póŸniej powróciæ.[n]Ograniczenie:[n]Mo¿esz go u¿ywaæ tylko na pustyni.[n]Na pustyni mo¿esz powróciæ do wioski z punktem o¿ywiania.[n][n]
zts4577e	Za pomoc¹ tego przedmiotu mo¿esz dotrzeæ do Wyspy Œmierci.
zts4579e	Paczka zawieraj¹ca piêæ kart tarota. U¿ywaj¹c jej mo¿esz otrzymaæ piêæ zapieczêtowanych kart tarota.[n]Mo¿esz otrzymaæ piêæ spoœród nastêpuj¹cych kart:[n]G³upca, Maga, Mi³oœæ, Pustelnika, Œmieræ, Demona, Wie¿ê, Gwiazdê, Ksiê¿yc lub S³oñce.[n]Je¿eli u¿yjesz zapieczêtowanej karty tarota, otrzymasz jedn¹ kartê tarota jako przedmiot wyposa¿enia. Czas dzia³ania karty rozpoczyna siê zaraz po jej w³o¿eniu.[n][n]
zts4580e	Paczka zawieraj¹ca piêæ kart tarota. U¿ywaj¹c jej mo¿esz otrzymaæ piêæ zapieczêtowanych kart tarota.[n]Mo¿esz otrzymaæ piêæ spoœród nastêpuj¹cych kart:[n]G³upca, Maga, Mi³oœæ, Pustelnika, Œmieræ, Demona, Wie¿ê, Gwiazdê, Ksiê¿yc lub S³oñce.[n]Je¿eli u¿yjesz zapieczêtowanej karty tarota, otrzymasz jedn¹ kartê tarota jako przedmiot wyposa¿enia. Czas dzia³ania karty rozpoczyna siê zaraz po jej w³o¿eniu.[n][n]
zts4581e	Jeœli otworzysz to pud³o, bêdziesz móg³ uzyskaæ nastêpuj¹ce przedmioty NosMarketu. [n] [Przedmioty, które mo¿esz uzyskaæ] [n] Maska Grozy A [n] Maska Grozy B [n] Maska Grozy C [n] Per³a Krzakogona[n] Per³a Gladiatora Krzakogona  [n] Per³a Deratyzatora Krzakogona[n] Karma dla bystrego zwierzaka[n] Zwoje Uwolnienia[n] Woda Ÿródlana z Cylloanu[n] Zwój do zniesienia ustalonego poziomu[n] Du¿y Specjalny Eliksir[n]
zts4582e	Jeœli otworzysz to pud³o, bêdziesz móg³ uzyskaæ nastêpuj¹ce przedmioty NosMarketu. [n] [Przedmioty, które mo¿esz uzyskaæ] [n] Maska ciszy A [n] Maska ciszy B [n] Maska ciszy C [n] Per³a byka krzakogona[n] Per³a wodnego krzakogona[n] Per³a Samuraja-Krzakogona[n] Karma dla bystrego zwierzaka[n] Zwoje ochrony wyposa¿enia[n] Woda Ÿródlana z Cylloanu[n] Zwój do zniesienia ustalonego poziomu[n] Du¿y Specjalny Eliksir[n]
zts4583e	Jeœli otworzysz to pud³o, bêdziesz móg³ uzyskaæ nastêpuj¹ce przedmioty NosMarketu. [n] [Przedmioty, które mo¿esz uzyskaæ] [n] Przepaskê na oczy otch³ani A [n] Przepaskê na oczy otch³ani B [n] Przepaskê na oczy otch³ani C[n] Per³a Pegaza[n] Per³a s³odkiego zaj¹ca[n] Per³a chorego krzakogona[n] Karma dla bystrego zwierzaka[n] Zwoje ochrony wyposa¿enia[n] Woda Ÿródlana z Cylloanu[n] Zwój do zniesienia ustalonego poziomu[n] Du¿y Specjalny Eliksir[n]
zts4584e	Gdy u¿yjesz tego przedmiotu, ow³adnie Tob¹ œmiertelny strach, dziêki któremu wzroœnie Twoja celnoœæ i si³a ataku.[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu.[n][n]
zts4585e	Tajemnicze pud³o B [n] Jeœli otworzysz to pud³o, bêdziesz móg³ uzyskaæ nastêpuj¹ce przedmioty NosMarketu. [n] [Przedmioty, które mo¿esz uzyskaæ] [n] Maska ciszy A [n] Maska ciszy B [n] Maska ciszy C [n] Per³a byka krzakogona[n] Per³a wodnego krzakogona[n] Per³a Samuraja-Krzakogona[n] Karma dla bystrego zwierzaka[n] Zwoje ochrony wyposa¿enia[n] Woda Ÿródlana z Cylloanu[n] Zwój do zniesienia ustalonego poziomu[n] Du¿y Specjalny Eliksir[n]
zts4590e	Wytwarza 2000 P¯ i 2000 PM.[n]Przywracanie dzia³a zarówno w przypadku gracza, jak i jego NosKumpli.[n][n]
zts4591e	Przywraca 2500 P¯.[n]Przywracanie dzia³a zarówno w przypadku gracza, jak i jego NosKumpli.[n][n]
zts4592e	Wytwarza 2000 P¯.[n]Przywracanie dzia³a zarówno w przypadku gracza, jak i jego NosKumpli.[n][n]
zts4593e	Przywraca 2000 PM.[n]Przywracanie dzia³a zarówno w przypadku gracza, jak i jego NosKumpli.[n][n]
zts4594e	Przywraca 2500 PM.[n]Przywracanie dzia³a zarówno w przypadku gracza, jak i jego NosKumpli.[n][n]
zts4595e	Rozpoczyna rajd pustynnych rozbójników[n] na tajemnej œcie¿ce œwi¹tyni Aster.[n]Wymagany poziom: 80 do 99[n][Sposób u¿ycia] Gracz staje siê liderem zespo³u. [n] Gdy zostaniesz liderem zespo³u, wybierz wspó³gracza[n] i u¿yj przycisku 'Zaproszenie'. Po dokonaniu wszystkich przygotowañ przejdŸ do wejœcia do rajdu. [n] Gdy lider zespo³u do³¹czy do rajdu, [n] wszyscy wspó³gracze przy³¹cz¹ siê automatycznie. [n] [Ostrze¿enie] Postacie z poziomem wy¿szym ni¿ zalecany [n] mog¹ wprawdzie uczestniczyæ w rajdzie, jednak zostan¹ ukarane. [n] (¯ycie siê nie zwiêksza, brak Skrzyñ skarbów, nawet w przypadku sukcesu) [n][n]
zts4596e	P¯: 700, PM: 700[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4597e	P¯:2500[n]P¯ s¹ powoli przywracane.[n]Korzysta na tym równie¿ twój NosKumpel.[n]Mo¿na u¿yæ tylko w czasie wypoczynku.[n][n]
zts4598e	P¯:700, PM:300[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4599e	P¯:300, PM:700[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4600e	P¯:1000, PM:500[n]P¯ i MP s¹ powoli nape³niane ponownie.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4601e	P¯:500, PM:1000[n]P¯ i MP s¹ powoli nape³niane ponownie.[n]Korzysta na tym równie¿ Twój NosKumpel.[n][n]
zts4602e	PM:2500[n]PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ twój NosKumpel.[n]Mo¿na u¿yæ w czasie wypoczynku.[n][n]
zts4603e	P¯:2500, PM:2500[n]P¯ i PM s¹ powoli przywracane.[n]Korzysta na tym równie¿ Twój NosKumpel.[n]Nie mo¿na go u¿ywaæ w czasie wypoczywania.[n][n]
zts4604e	Skrzynia Boksera Krzakogona
zts4605e	Skrzynia Boksera Krzakogona.[n]Po otworzeniu skrzyni mo¿esz otrzymaæ jeden z nastêpuj¹cych przedmiotów:[n]Per³ê Boksera Krzakogona[n]Per³ê Chorego Krzakogona[n]Skrzyd³o Anio³a[n]Skrzyd³o Demona[n]Wzmacniacz Wró¿ki[n]Zwój ochrony wyposa¿enia[n]Zwój zniesienia[n]Du¿y specjalny eliksir[n]Specjalny Pokarm dla Zwierzaka[n]
zts4606e	Gdy u¿yjesz tego przedmiotu, dostaniesz g³upawki i bêdziesz móg³ siê szybciej przemieszczaæ oraz bêdziesz otrzymywa³ wiêcej z³ota od potworów.[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu[n][n]
zts4607e	Dziêki czarodziejskiej mocy Maga spada Twoje zu¿ycie many, a wszystkie odpornoœci i Twoja maksymalna mana wzrasta.[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu[n][n]
zts4608e	Podczas u¿ywania tego przedmiotu poczujesz ogieñ mi³oœci, przez co zwiêksz¹ siê Twoje P¯, PM i atak.[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu[n][n]
zts4609e	Po zastosowaniu bêdziesz silny jak Pustelnik, przez co wzrosn¹ Twoje wartoœci obrony i P¯.[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu[n][n]
zts4610e	Gdy u¿yjesz tego przedmiotu, ow³adnie Tob¹ œmiertelny strach, dziêki któremu wzroœnie Twoja celnoœæ i si³a ataku.[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu.[n][n]
zts4611e	Po zastosowaniu bêdziesz silny jak Demon, przez co zwiêksz¹ siê Twoje P¯, prêdkoœæ ruchu i atak[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu[n][n]
zts4612e	Dziêki magicznej mocy Wie¿y bêdziesz otrzymywa³ wiêcej z³ota od potworów oraz wiêcej punktów doœwiadczenia[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu.[n][n]
zts4613e	Moc œwiec¹cej gwiazdy pozwala Ci siê szybciej poruszaæ i zbieraæ wiêcej punktów doœwiadczenia.[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu.[n][n]
zts4614e	Dziêki b³ogos³awieñstwu ksiê¿yca wzrastaj¹ Twoje PM, obrona i atak.[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu.[n][n]
zts4615e	Ciep³o s³oñca dodaje Ci si³, przez co wzrasta Twoja prêdkoœæ ruchu, PM oraz atak[n]Czas dzia³ania: zobacz w Info o przedmiotach[n]Czas dzia³ania rozpoczyna siê zaraz po u¿yciu.[n][n]
zts4616e	Zawiera nastêpuj¹ce przedmioty, które mo¿na kupiæ w NosMarkecie:[n]1x Skrzynia Magicznej Hulajnogi[n]10x Skrzyd³o PrzyjaŸni[n]30x G³oœnik[n]1x Karty Tarota[n] oraz wiele innych przedmiotów. Ponadto dodano jeszcze specjaln¹ Antyczn¹ Skrzyniê szczêœcia.[n][n]
zts4617e	Skrzynia magicznej hulajnogi
zts4618e	Skrzynia, w której znajdowa³a siê skrzynia Premium.[n]Znajduje siê w niej magiczny skuter.[n]Uwaga:[n]Po wyjêciu magicznego skutera ze skrzyni nie bêdziesz móg³ jej ju¿ sprzedaæ.[n][n]
zts4619e	Antyczna Skrzynia szczêœcia
zts4620e	Skrzynia szczêœcia zawieraj¹ca przedmioty wszelkiej maœci! Mo¿esz otrzymaæ przedmioty, których nie ma nigdzie indziej.[n][n]
zts4621e	Skrzynia zawieraj¹ca przedmioty, które mo¿na kupiæ w NosMarkecie.[n]B³ogos³awieñstwo Ancelloan, Karty Tarota, Du¿y specjalny eliksir oraz skrzynia z czapk¹ (7 dni).[n][n]
zts4622e	Karta tarota (G³upiec) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n]Stosowanie:[n]Kliknij dwukrotnie, aby usun¹æ pieczêæ oraz otrzymaæ kartê tarota (G³upca).[n]Wszystkie postacie mog¹ u¿ywaæ tego przedmiotu, niezale¿nie od swojego poziomu.[n][n]
zts4623e	Karta tarota (Mag) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n]Stosowanie:[n]Kliknij dwukrotnie, aby usun¹æ pieczêæ oraz otrzymaæ kartê tarota (Maga).[n]Wszystkie postacie mog¹ u¿ywaæ tego przedmiotu, niezale¿nie od swojego poziomu.[n][n]
zts4624e	Karta tarota (Mi³oœæ) jest jeszcze zapieczêtowana i mo¿na j¹ przekazywaæ innym graczom.[n]Stosowanie:[n]Kliknij dwukrotnie, aby usun¹æ pieczêæ oraz otrzymaæ kartê tarota (Mi³oœæ).[n]Wszystkie postacie mog¹ u¿ywaæ tego przedmiotu, niezale¿nie od swojego poziomu.[n][n]
